Site Name ,ODYTEST4594
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4594


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,0,0
18,23/05/2023 , 05:30:00,2,2
19,23/05/2023 , 05:45:00,3,3
20,23/05/2023 , 06:00:00,9,9
21,23/05/2023 , 06:15:00,16,16
22,23/05/2023 , 06:30:00,23,23
23,23/05/2023 , 06:45:00,40,40
24,23/05/2023 , 07:00:00,54,54
25,23/05/2023 , 07:15:00,89,89
26,23/05/2023 , 07:30:00,118,118
27,23/05/2023 , 07:45:00,122,122
28,23/05/2023 , 08:00:00,128,128
29,23/05/2023 , 08:15:00,196,196
30,23/05/2023 , 08:30:00,321,321
31,23/05/2023 , 08:45:00,409,409
32,23/05/2023 , 09:00:00,499,499
33,23/05/2023 , 09:15:00,948,948
34,23/05/2023 , 09:30:00,1547,1547
35,23/05/2023 , 09:45:00,1535,1535
36,23/05/2023 , 10:00:00,1732,1732
37,23/05/2023 , 10:15:00,1625,1625
38,23/05/2023 , 10:30:00,1832,1832
39,23/05/2023 , 10:45:00,2190,2190
40,23/05/2023 , 11:00:00,2122,2122
41,23/05/2023 , 11:15:00,2549,2549
42,23/05/2023 , 11:30:00,3265,3265
43,23/05/2023 , 11:45:00,2244,2244
44,23/05/2023 , 12:00:00,2418,2418
45,23/05/2023 , 12:15:00,2422,2422
46,23/05/2023 , 12:30:00,2677,2677
47,23/05/2023 , 12:45:00,4146,4146
48,23/05/2023 , 13:00:00,3572,3572
49,23/05/2023 , 13:15:00,4134,4134
50,23/05/2023 , 13:30:00,2958,2958
51,23/05/2023 , 13:45:00,2874,2874
52,23/05/2023 , 14:00:00,3212,3212
53,23/05/2023 , 14:15:00,4116,4116
54,23/05/2023 , 14:30:00,4571,4571
55,23/05/2023 , 14:45:00,3371,3371
56,23/05/2023 , 15:00:00,2099,2099
57,23/05/2023 , 15:15:00,1434,1434
58,23/05/2023 , 15:30:00,1238,1238
59,23/05/2023 , 15:45:00,979,979
60,23/05/2023 , 16:00:00,691,691
61,23/05/2023 , 16:15:00,685,685
62,23/05/2023 , 16:30:00,647,647
63,23/05/2023 , 16:45:00,505,505
64,23/05/2023 , 17:00:00,455,455
65,23/05/2023 , 17:15:00,463,463
66,23/05/2023 , 17:30:00,370,370
67,23/05/2023 , 17:45:00,356,356
68,23/05/2023 , 18:00:00,280,280
69,23/05/2023 , 18:15:00,532,532
70,23/05/2023 , 18:30:00,401,401
71,23/05/2023 , 18:45:00,331,331
72,23/05/2023 , 19:00:00,232,232
73,23/05/2023 , 19:15:00,149,149
74,23/05/2023 , 19:30:00,109,109
75,23/05/2023 , 19:45:00,69,69
76,23/05/2023 , 20:00:00,64,64
77,23/05/2023 , 20:15:00,52,52
78,23/05/2023 , 20:30:00,36,36
79,23/05/2023 , 20:45:00,15,15
80,23/05/2023 , 21:00:00,5,5
81,23/05/2023 , 21:15:00,2,2
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
109,24/05/2023 , 04:15:00,0,0
110,24/05/2023 , 04:30:00,0,0
