#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2023 13:11:26,,Logged,,,
2,05/17/2023 13:11:27,,,Logged,,
3,05/17/2023 13:11:34,,,,Logged,
4,05/23/2023 01:00:00,9.360,,,,
5,05/23/2023 01:15:00,9.360,,,,
6,05/23/2023 01:30:00,9.360,,,,
7,05/23/2023 01:45:00,9.360,,,,
8,05/23/2023 02:00:00,9.360,,,,
9,05/23/2023 02:15:00,9.907,,,,
10,05/23/2023 02:30:00,10.132,,,,
11,05/23/2023 02:45:00,10.272,,,,
12,05/23/2023 03:00:00,10.572,,,,
13,05/23/2023 03:15:00,10.615,,,,
14,05/23/2023 03:30:00,10.851,,,,
15,05/23/2023 03:45:00,10.883,,,,
16,05/23/2023 04:00:00,10.905,,,,
17,05/23/2023 04:15:00,10.883,,,,
18,05/23/2023 04:30:00,10.840,,,,
19,05/23/2023 04:45:00,10.872,,,,
20,05/23/2023 05:00:00,11.752,,,,
21,05/23/2023 05:15:00,12.138,,,,
22,05/23/2023 05:30:00,12.320,,,,
23,05/23/2023 05:45:00,11.870,,,,
24,05/23/2023 06:00:00,12.256,,,,
25,05/23/2023 06:15:00,12.299,,,,
26,05/23/2023 06:30:00,12.546,,,,
27,05/23/2023 06:45:00,12.610,,,,
28,05/23/2023 07:00:00,12.513,,,,
29,05/23/2023 07:15:00,12.170,,,,
30,05/23/2023 07:30:00,11.956,,,,
31,05/23/2023 07:45:00,11.945,,,,
32,05/23/2023 08:00:00,11.655,,,,
33,05/23/2023 08:15:00,11.613,,,,
34,05/23/2023 08:30:00,11.891,,,,
35,05/23/2023 08:45:00,12.020,,,,
36,05/23/2023 09:00:00,12.138,,,,
37,05/23/2023 09:15:00,12.299,,,,
38,05/23/2023 09:30:00,12.567,,,,
39,05/23/2023 09:45:00,12.942,,,,
40,05/23/2023 10:00:00,12.975,,,,
41,05/23/2023 10:15:00,12.921,,,,
42,05/23/2023 10:30:00,12.664,,,,
43,05/23/2023 10:45:00,12.578,,,,
44,05/23/2023 11:00:00,12.546,,,,
45,05/23/2023 11:15:00,12.449,,,,
46,05/23/2023 11:30:00,12.052,,,,
47,05/23/2023 11:45:00,11.977,,,,
48,05/23/2023 12:00:00,12.310,,,,
49,05/23/2023 12:15:00,12.170,,,,
50,05/23/2023 12:30:00,12.117,,,,
51,05/23/2023 12:45:00,12.149,,,,
52,05/23/2023 13:00:00,12.052,,,,
53,05/23/2023 13:15:00,12.438,,,,
54,05/23/2023 13:30:00,12.610,,,,
55,05/23/2023 13:45:00,12.664,,,,
56,05/23/2023 14:00:00,12.621,,,,
57,05/23/2023 14:15:00,12.878,,,,
58,05/23/2023 14:30:00,13.039,,,,
59,05/23/2023 14:45:00,13.157,,,,
60,05/23/2023 15:00:00,13.125,,,,
61,05/23/2023 15:15:00,13.039,,,,
62,05/23/2023 15:30:00,12.803,,,,
63,05/23/2023 15:45:00,12.578,,,,
64,05/23/2023 16:00:00,12.503,,,,
65,05/23/2023 16:15:00,12.631,,,,
66,05/23/2023 16:30:00,12.878,,,,
67,05/23/2023 16:45:00,13.071,,,,
68,05/23/2023 17:00:00,13.146,,,,
69,05/23/2023 17:15:00,13.082,,,,
