Site Name ,ODYLIGHT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,5991


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,0,0
18,23/05/2023 , 05:30:00,2,2
19,23/05/2023 , 05:45:00,3,3
20,23/05/2023 , 06:00:00,5,5
21,23/05/2023 , 06:15:00,10,10
22,23/05/2023 , 06:30:00,15,15
23,23/05/2023 , 06:45:00,24,24
24,23/05/2023 , 07:00:00,43,43
25,23/05/2023 , 07:15:00,62,62
26,23/05/2023 , 07:30:00,81,81
27,23/05/2023 , 07:45:00,108,108
28,23/05/2023 , 08:00:00,113,113
29,23/05/2023 , 08:15:00,152,152
30,23/05/2023 , 08:30:00,183,183
31,23/05/2023 , 08:45:00,294,294
32,23/05/2023 , 09:00:00,384,384
33,23/05/2023 , 09:15:00,790,790
34,23/05/2023 , 09:30:00,1017,1017
35,23/05/2023 , 09:45:00,1094,1094
36,23/05/2023 , 10:00:00,1017,1017
37,23/05/2023 , 10:15:00,1059,1059
38,23/05/2023 , 10:30:00,1163,1163
39,23/05/2023 , 10:45:00,2178,2178
40,23/05/2023 , 11:00:00,2391,2391
41,23/05/2023 , 11:15:00,2280,2280
42,23/05/2023 , 11:30:00,1895,1895
43,23/05/2023 , 11:45:00,2570,2570
44,23/05/2023 , 12:00:00,2593,2593
45,23/05/2023 , 12:15:00,2540,2540
46,23/05/2023 , 12:30:00,1954,1954
47,23/05/2023 , 12:45:00,2263,2263
48,23/05/2023 , 13:00:00,2599,2599
49,23/05/2023 , 13:15:00,2310,2310
50,23/05/2023 , 13:30:00,3073,3073
51,23/05/2023 , 13:45:00,2219,2219
52,23/05/2023 , 14:00:00,1502,1502
53,23/05/2023 , 14:15:00,2519,2519
54,23/05/2023 , 14:30:00,2578,2578
55,23/05/2023 , 14:45:00,2864,2864
56,23/05/2023 , 15:00:00,2059,2059
57,23/05/2023 , 15:15:00,2146,2146
58,23/05/2023 , 15:30:00,1575,1575
59,23/05/2023 , 15:45:00,793,793
60,23/05/2023 , 16:00:00,650,650
61,23/05/2023 , 16:15:00,625,625
62,23/05/2023 , 16:30:00,526,526
63,23/05/2023 , 16:45:00,446,446
64,23/05/2023 , 17:00:00,292,292
65,23/05/2023 , 17:15:00,286,286
66,23/05/2023 , 17:30:00,247,247
67,23/05/2023 , 17:45:00,207,207
68,23/05/2023 , 18:00:00,197,197
69,23/05/2023 , 18:15:00,223,223
70,23/05/2023 , 18:30:00,219,219
71,23/05/2023 , 18:45:00,232,232
72,23/05/2023 , 19:00:00,183,183
73,23/05/2023 , 19:15:00,133,133
74,23/05/2023 , 19:30:00,103,103
75,23/05/2023 , 19:45:00,69,69
76,23/05/2023 , 20:00:00,38,38
77,23/05/2023 , 20:15:00,26,26
78,23/05/2023 , 20:30:00,17,17
79,23/05/2023 , 20:45:00,10,10
80,23/05/2023 , 21:00:00,4,4
81,23/05/2023 , 21:15:00,1,1
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
109,24/05/2023 , 04:15:00,0,0
110,24/05/2023 , 04:30:00,0,0
