#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,05/17/2023 12:35:02,,Logged,,,
2,05/17/2023 13:30:12,,,Logged,Logged,
3,05/17/2023 13:30:19,,Logged,,,
4,05/23/2023 01:00:00,9.757,,,,
5,05/23/2023 01:15:00,9.746,,,,
6,05/23/2023 01:30:00,9.736,,,,
7,05/23/2023 01:45:00,9.746,,,,
8,05/23/2023 02:00:00,9.746,,,,
9,05/23/2023 02:15:00,9.757,,,,
10,05/23/2023 02:30:00,9.757,,,,
11,05/23/2023 02:45:00,9.757,,,,
12,05/23/2023 03:00:00,9.768,,,,
13,05/23/2023 03:15:00,9.779,,,,
14,05/23/2023 03:30:00,9.789,,,,
15,05/23/2023 03:45:00,9.811,,,,
16,05/23/2023 04:00:00,9.811,,,,
17,05/23/2023 04:15:00,9.821,,,,
18,05/23/2023 04:30:00,9.843,,,,
19,05/23/2023 04:45:00,9.843,,,,
20,05/23/2023 05:00:00,9.843,,,,
21,05/23/2023 05:15:00,9.843,,,,
22,05/23/2023 05:30:00,9.843,,,,
23,05/23/2023 05:45:00,9.843,,,,
24,05/23/2023 06:00:00,9.843,,,,
25,05/23/2023 06:15:00,9.843,,,,
26,05/23/2023 06:30:00,9.843,,,,
27,05/23/2023 06:45:00,9.854,,,,
28,05/23/2023 07:00:00,9.854,,,,
29,05/23/2023 07:15:00,9.864,,,,
30,05/23/2023 07:30:00,9.864,,,,
31,05/23/2023 07:45:00,9.864,,,,
32,05/23/2023 08:00:00,9.864,,,,
33,05/23/2023 08:15:00,9.864,,,,
34,05/23/2023 08:30:00,9.875,,,,
35,05/23/2023 08:45:00,9.886,,,,
36,05/23/2023 09:00:00,9.896,,,,
37,05/23/2023 09:15:00,9.918,,,,
38,05/23/2023 09:30:00,9.939,,,,
39,05/23/2023 09:45:00,9.972,,,,
40,05/23/2023 10:00:00,10.014,,,,
41,05/23/2023 10:15:00,10.068,,,,
42,05/23/2023 10:30:00,10.111,,,,
43,05/23/2023 10:45:00,10.218,,,,
44,05/23/2023 11:00:00,10.336,,,,
45,05/23/2023 11:15:00,10.390,,,,
46,05/23/2023 11:30:00,10.476,,,,
47,05/23/2023 11:45:00,10.679,,,,
48,05/23/2023 12:00:00,10.787,,,,
49,05/23/2023 12:15:00,10.851,,,,
50,05/23/2023 12:30:00,10.872,,,,
51,05/23/2023 12:45:00,10.926,,,,
52,05/23/2023 13:00:00,10.958,,,,
53,05/23/2023 13:15:00,11.033,,,,
54,05/23/2023 13:30:00,11.066,,,,
55,05/23/2023 13:45:00,11.216,,,,
56,05/23/2023 14:00:00,11.259,,,,
57,05/23/2023 14:15:00,11.248,,,,
58,05/23/2023 14:30:00,11.280,,,,
59,05/23/2023 14:45:00,11.248,,,,
60,05/23/2023 15:00:00,11.033,,,,
61,05/23/2023 15:15:00,10.368,,,,
62,05/23/2023 15:30:00,10.047,,,,
63,05/23/2023 15:45:00,9.939,,,,
64,05/23/2023 16:00:00,9.929,,,,
65,05/23/2023 16:15:00,9.918,,,,
66,05/23/2023 16:30:00,9.896,,,,
67,05/23/2023 16:45:00,9.854,,,,
68,05/23/2023 17:00:00,9.821,,,,
69,05/23/2023 17:15:00,9.811,,,,
70,05/23/2023 17:30:00,9.779,,,,
71,05/23/2023 17:45:00,9.768,,,,
72,05/23/2023 18:00:00,9.757,,,,
73,05/23/2023 18:15:00,9.757,,,,
74,05/23/2023 18:30:00,9.779,,,,
75,05/23/2023 18:45:00,9.779,,,,
76,05/23/2023 19:00:00,9.757,,,,
77,05/23/2023 19:15:00,9.768,,,,
78,05/23/2023 19:30:00,9.757,,,,
79,05/23/2023 19:45:00,9.736,,,,
80,05/23/2023 20:00:00,9.746,,,,
81,05/23/2023 20:15:00,9.736,,,,
82,05/23/2023 20:30:00,9.746,,,,
83,05/23/2023 20:45:00,9.757,,,,
84,05/23/2023 21:00:00,9.757,,,,
85,05/23/2023 21:15:00,9.757,,,,
86,05/23/2023 21:30:00,9.757,,,,
87,05/23/2023 21:45:00,9.768,,,,
