"Plot Title: 21742590"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742590, SEN S/N: 21742590)","High Range, μS/cm (LGR S/N: 21742590, SEN S/N: 21742590)","Temp, °F (LGR S/N: 21742590, SEN S/N: 21742590)","Specific Conductance, μS/cm (LGR S/N: 21742590)","Salinity, ppt (LGR S/N: 21742590)","Coupler Detached (LGR S/N: 21742590)","Coupler Attached (LGR S/N: 21742590)","Host Connected (LGR S/N: 21742590)","Stopped (LGR S/N: 21742590)","End Of File (LGR S/N: 21742590)"
1,05/23/23 01:00:00 AM,29130.3,32836.8,49.33,,,Logged,,,,
2,05/23/23 01:15:00 AM,29708.9,32862.3,49.37,,,,,,,
3,05/23/23 01:30:00 AM,29616.8,32862.3,49.33,,,,,,,
4,05/23/23 01:45:00 AM,29616.8,32857.2,49.33,,,,,,,
5,05/23/23 02:00:00 AM,29690.0,32867.4,49.33,,,,,,,
6,05/23/23 02:15:00 AM,29690.0,32857.2,49.33,,,,,,,
7,05/23/23 02:30:00 AM,29524.9,32836.8,49.33,,,,,,,
8,05/23/23 02:45:00 AM,29524.9,32875.0,49.32,,,,,,,
9,05/23/23 03:00:00 AM,29690.0,32844.5,49.33,,,,,,,
10,05/23/23 03:15:00 AM,29690.0,32844.5,49.32,,,,,,,
11,05/23/23 03:30:00 AM,29597.9,32819.0,49.33,,,,,,,
12,05/23/23 03:45:00 AM,29690.0,32844.5,49.28,,,,,,,
13,05/23/23 04:00:00 AM,29690.0,32844.5,49.23,,,,,,,
14,05/23/23 04:15:00 AM,29597.9,32862.3,49.21,,,,,,,
15,05/23/23 04:30:00 AM,29616.8,32862.3,49.23,,,,,,,
16,05/23/23 04:45:00 AM,29671.1,32857.2,49.23,,,,,,,
17,05/23/23 05:00:00 AM,29671.1,32852.1,49.23,,,,,,,
18,05/23/23 05:15:00 AM,29597.9,32852.1,49.23,,,,,,,
19,05/23/23 05:30:00 AM,29579.0,32826.7,49.24,,,,,,,
20,05/23/23 05:45:00 AM,29690.0,32847.0,49.23,,,,,,,
21,05/23/23 06:00:00 AM,29671.1,32857.2,49.23,,,,,,,
22,05/23/23 06:15:00 AM,29671.1,32826.7,49.24,,,,,,,
23,05/23/23 06:30:00 AM,29671.1,32847.0,49.24,,,,,,,
24,05/23/23 06:45:00 AM,29671.1,32834.3,49.24,,,,,,,
25,05/23/23 07:00:00 AM,29579.0,32834.3,49.24,,,,,,,
26,05/23/23 07:15:00 AM,29671.1,32834.3,49.28,,,,,,,
27,05/23/23 07:30:00 AM,29652.2,32852.1,49.30,,,,,,,
28,05/23/23 07:45:00 AM,29652.2,32867.4,49.32,,,,,,,
29,05/23/23 08:00:00 AM,29725.5,32867.4,49.32,,,,,,,
30,05/23/23 08:15:00 AM,29560.2,32836.8,49.33,,,,,,,
31,05/23/23 08:30:00 AM,29560.2,32862.3,49.37,,,,,,,
32,05/23/23 08:45:00 AM,29725.5,32862.3,49.41,,,,,,,
33,05/23/23 09:00:00 AM,29706.6,32882.7,49.48,,,,,,,
34,05/23/23 09:15:00 AM,29633.3,32887.8,49.50,,,,,,,
35,05/23/23 09:30:00 AM,29687.6,32908.2,49.57,,,,,,,
36,05/23/23 09:45:00 AM,29761.1,32959.3,49.69,,,,,,,
37,05/23/23 10:00:00 AM,29761.1,32954.2,49.71,,,,,,,
38,05/23/23 10:15:00 AM,29834.7,32995.2,49.80,,,,,,,
39,05/23/23 10:30:00 AM,29742.1,32982.4,49.80,,,,,,,
40,05/23/23 10:45:00 AM,29796.7,32995.2,49.86,,,,,,,
41,05/23/23 11:00:00 AM,29777.7,33069.8,50.02,,,,,,,
42,05/23/23 11:15:00 AM,29777.7,33036.3,49.95,,,,,,,
43,05/23/23 11:30:00 AM,29758.7,33026.0,49.98,,,,,,,
44,05/23/23 11:45:00 AM,29830.0,33067.2,50.14,,,,,,,
45,05/23/23 12:00:00 PM,29903.8,33121.4,50.25,,,,,,,
46,05/23/23 12:15:00 PM,29977.9,33173.2,50.40,,,,,,,
47,05/23/23 12:30:00 PM,30013.7,33188.7,50.50,,,,,,,
48,05/23/23 12:45:00 PM,29994.6,33209.5,50.52,,,,,,,
49,05/23/23 01:00:00 PM,29975.5,33295.5,50.74,,,,,,,
50,05/23/23 01:15:00 PM,30049.7,33300.7,50.86,,,,,,,
51,05/23/23 01:30:00 PM,30104.9,33347.8,51.01,,,,,,,
52,05/23/23 01:45:00 PM,30085.7,33413.4,51.15,,,,,,,
53,05/23/23 02:00:00 PM,30215.6,33437.1,51.26,,,,,,,
54,05/23/23 02:15:00 PM,30119.3,33437.1,51.28,,,,,,,
55,05/23/23 02:30:00 PM,30174.7,33460.8,51.37,,,,,,,
56,05/23/23 02:45:00 PM,30155.4,33489.9,51.48,,,,,,,
57,05/23/23 03:00:00 PM,30305.0,33545.4,51.58,,,,,,,
58,05/23/23 03:15:00 PM,30285.7,33633.1,51.84,,,,,,,
59,05/23/23 03:30:00 PM,30322.0,33654.4,51.91,,,,,,,
60,05/23/23 03:45:00 PM,30341.4,33601.2,51.75,,,,,,,
61,05/23/23 04:00:00 PM,30247.0,33556.0,51.67,,,,,,,
62,05/23/23 04:15:00 PM,30247.0,33577.3,51.64,,,,,,,
63,05/23/23 04:30:00 PM,30247.0,33497.8,51.48,,,,,,,
64,05/23/23 04:45:00 PM,30078.5,33355.7,51.12,,,,,,,
65,05/23/23 05:00:00 PM,29839.5,33178.4,50.68,,,,,,,
66,05/23/23 05:15:00 PM,29675.8,32982.4,50.45,,,,,,,
67,05/23/23 05:30:00 PM,29675.8,32982.4,50.25,,,,,,,
68,05/23/23 05:45:00 PM,29675.8,32938.8,50.16,,,,,,,
69,05/23/23 06:00:00 PM,29586.1,32926.0,50.05,,,,,,,
70,05/23/23 06:15:00 PM,29586.1,32852.1,49.93,,,,,,,
71,05/23/23 06:30:00 PM,29569.6,32869.9,49.93,,,,,,,
72,05/23/23 06:45:00 PM,29659.3,32946.5,50.14,,,,,,,
73,05/23/23 07:00:00 PM,29496.7,32796.2,49.78,,,,,,,
74,05/23/23 07:15:00 PM,29569.6,32864.8,49.93,,,,,,,
75,05/23/23 07:30:00 PM,29586.1,32890.3,49.95,,,,,,,
76,05/23/23 07:45:00 PM,29569.6,32864.8,49.87,,,,,,,
77,05/23/23 08:00:00 PM,29569.6,32803.8,49.71,,,,,,,
78,05/23/23 08:15:00 PM,29407.5,32778.5,49.68,,,,,,,
79,05/23/23 08:30:00 PM,29496.7,32786.1,49.69,,,,,,,
80,05/23/23 08:45:00 PM,29496.7,32765.8,49.71,,,,,,,
81,05/23/23 09:00:00 PM,29407.5,32760.7,49.66,,,,,,,
82,05/23/23 09:15:00 PM,29407.5,32722.8,49.66,,,,,,,
83,05/23/23 09:30:00 PM,29480.2,32717.8,49.59,,,,,,,
84,05/23/23 09:45:00 PM,29321.0,32680.0,49.51,,,,,,,
85,05/23/23 10:00:00 PM,29407.5,32687.5,49.53,,,,,,,
