"Plot Title: 21467047"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 21467047, SEN S/N: 21467047)","Temp, °C (LGR S/N: 21467047, SEN S/N: 21467047)"
1,05/23/23 01:00:00 AM,143.969,10.063
2,05/23/23 01:15:00 AM,143.576,10.063
3,05/23/23 01:30:00 AM,143.349,10.161
4,05/23/23 01:45:00 AM,143.235,10.161
5,05/23/23 02:00:00 AM,143.088,10.161
6,05/23/23 02:15:00 AM,142.842,10.161
7,05/23/23 02:30:00 AM,142.711,10.161
8,05/23/23 02:45:00 AM,142.498,10.161
9,05/23/23 03:00:00 AM,142.417,10.161
10,05/23/23 03:15:00 AM,142.335,10.161
11,05/23/23 03:30:00 AM,142.302,10.161
12,05/23/23 03:45:00 AM,142.171,10.161
13,05/23/23 04:00:00 AM,142.119,10.063
14,05/23/23 04:15:00 AM,142.185,10.063
15,05/23/23 04:30:00 AM,142.103,10.063
16,05/23/23 04:45:00 AM,142.119,10.063
17,05/23/23 05:00:00 AM,142.037,10.063
18,05/23/23 05:15:00 AM,141.906,10.063
19,05/23/23 05:30:00 AM,141.825,10.063
20,05/23/23 05:45:00 AM,141.661,10.063
21,05/23/23 06:00:00 AM,141.446,9.965
22,05/23/23 06:15:00 AM,141.298,9.965
23,05/23/23 06:30:00 AM,140.873,9.965
24,05/23/23 06:45:00 AM,140.415,9.965
25,05/23/23 07:00:00 AM,139.925,9.965
26,05/23/23 07:15:00 AM,139.321,9.965
27,05/23/23 07:30:00 AM,138.637,10.063
28,05/23/23 07:45:00 AM,138.000,10.063
29,05/23/23 08:00:00 AM,137.233,10.063
30,05/23/23 08:15:00 AM,136.335,10.063
31,05/23/23 08:30:00 AM,135.419,9.965
32,05/23/23 08:45:00 AM,134.636,9.965
33,05/23/23 09:00:00 AM,133.740,9.965
34,05/23/23 09:15:00 AM,132.664,9.965
35,05/23/23 09:30:00 AM,131.605,9.965
36,05/23/23 09:45:00 AM,130.498,9.965
37,05/23/23 10:00:00 AM,129.411,10.063
38,05/23/23 10:15:00 AM,128.191,10.063
39,05/23/23 10:30:00 AM,126.953,9.965
40,05/23/23 10:45:00 AM,125.803,10.063
41,05/23/23 11:00:00 AM,124.536,10.063
42,05/23/23 11:15:00 AM,123.305,10.161
43,05/23/23 11:30:00 AM,122.429,10.161
44,05/23/23 11:45:00 AM,121.376,10.161
45,05/23/23 12:00:00 PM,120.568,10.259
46,05/23/23 12:15:00 PM,119.628,10.259
47,05/23/23 12:30:00 PM,119.048,10.357
48,05/23/23 12:45:00 PM,118.421,10.553
49,05/23/23 01:00:00 PM,118.035,10.651
50,05/23/23 01:15:00 PM,117.679,10.651
51,05/23/23 01:30:00 PM,117.679,10.651
52,05/23/23 01:45:00 PM,117.730,10.748
53,05/23/23 02:00:00 PM,117.892,10.748
54,05/23/23 02:15:00 PM,118.426,10.748
55,05/23/23 02:30:00 PM,118.946,10.846
56,05/23/23 02:45:00 PM,119.513,10.846
57,05/23/23 03:00:00 PM,120.194,10.846
58,05/23/23 03:15:00 PM,120.548,10.748
59,05/23/23 03:30:00 PM,121.147,10.748
60,05/23/23 03:45:00 PM,121.907,10.651
61,05/23/23 04:00:00 PM,122.945,10.651
62,05/23/23 04:15:00 PM,123.753,10.553
63,05/23/23 04:30:00 PM,124.771,10.357
64,05/23/23 04:45:00 PM,126.260,10.161
65,05/23/23 05:00:00 PM,127.511,10.161
66,05/23/23 05:15:00 PM,128.809,10.063
67,05/23/23 05:30:00 PM,130.159,10.063
68,05/23/23 05:45:00 PM,131.624,10.063
69,05/23/23 06:00:00 PM,132.732,10.063
70,05/23/23 06:15:00 PM,134.038,10.161
71,05/23/23 06:30:00 PM,135.212,10.161
72,05/23/23 06:45:00 PM,136.469,10.161
73,05/23/23 07:00:00 PM,137.579,10.161
74,05/23/23 07:15:00 PM,138.607,10.161
75,05/23/23 07:30:00 PM,139.934,10.259
76,05/23/23 07:45:00 PM,140.637,10.259
77,05/23/23 08:00:00 PM,141.337,10.161
78,05/23/23 08:15:00 PM,142.188,10.161
79,05/23/23 08:30:00 PM,143.022,10.161
80,05/23/23 08:45:00 PM,143.775,10.161
81,05/23/23 09:00:00 PM,144.525,10.063
82,05/23/23 09:15:00 PM,145.000,10.063
83,05/23/23 09:30:00 PM,145.311,10.063
84,05/23/23 09:45:00 PM,145.803,10.063
85,05/23/23 10:00:00 PM,145.885,10.063
86,05/23/23 10:15:00 PM,146.117,10.161
87,05/23/23 10:30:00 PM,146.216,10.161
88,05/23/23 10:45:00 PM,146.180,10.063
89,05/23/23 11:00:00 PM,146.049,10.063
90,05/23/23 11:15:00 PM,145.869,10.063
91,05/23/23 11:30:00 PM,145.705,10.063
92,05/23/23 11:45:00 PM,145.508,10.063
93,05/24/23 12:00:00 AM,145.213,10.063
94,05/24/23 12:15:00 AM,145.000,10.063
95,05/24/23 12:30:00 AM,144.653,9.965
96,05/24/23 12:45:00 AM,144.309,9.965
97,05/24/23 01:00:00 AM,144.015,9.965
98,05/24/23 01:15:00 AM,143.720,9.965
99,05/24/23 01:30:00 AM,143.474,9.965
100,05/24/23 01:45:00 AM,143.311,9.965
101,05/24/23 02:00:00 AM,143.082,9.965
102,05/24/23 02:15:00 AM,142.803,9.965
103,05/24/23 02:30:00 AM,142.620,9.866
104,05/24/23 02:45:00 AM,142.391,9.866
105,05/24/23 03:00:00 AM,142.228,9.866
106,05/24/23 03:15:00 AM,142.064,9.866
107,05/24/23 03:30:00 AM,141.933,9.866
108,05/24/23 03:45:00 AM,141.868,9.866
109,05/24/23 04:00:00 AM,141.786,9.866
110,05/24/23 04:15:00 AM,141.639,9.866
111,05/24/23 04:30:00 AM,141.590,9.866
112,05/24/23 04:45:00 AM,141.541,9.866
113,05/24/23 05:00:00 AM,141.492,9.866
114,05/24/23 05:15:00 AM,141.364,9.965
115,05/24/23 05:30:00 AM,141.217,9.965
116,05/24/23 05:45:00 AM,141.040,10.063
117,05/24/23 06:00:00 AM,140.843,10.063
118,05/24/23 06:15:00 AM,140.775,9.965
119,05/24/23 06:30:00 AM,140.647,10.063
120,05/24/23 06:45:00 AM,140.451,10.063
121,05/24/23 07:00:00 AM,140.239,10.063
122,05/24/23 07:15:00 AM,139.846,10.063
123,05/24/23 07:30:00 AM,139.424,10.161
124,05/24/23 07:45:00 AM,138.885,10.161
125,05/24/23 08:00:00 AM,138.395,10.161
126,05/24/23 08:15:00 AM,137.726,10.161
127,05/24/23 08:30:00 AM,137.089,10.161
128,05/24/23 08:45:00 AM,136.501,10.161
129,05/24/23 09:00:00 AM,135.800,10.161
130,05/24/23 09:15:00 AM,135.117,10.259
131,05/24/23 09:30:00 AM,134.332,10.161
132,05/24/23 09:45:00 AM,133.487,10.259
133,05/24/23 10:00:00 AM,132.607,10.259
134,05/24/23 10:15:00 AM,131.776,10.259
135,05/24/23 10:30:00 AM,130.620,10.259
136,05/24/23 10:45:00 AM,129.579,10.259
137,05/24/23 11:00:00 AM,128.603,10.259
138,05/24/23 11:15:00 AM,127.533,10.357
139,05/24/23 11:30:00 AM,126.495,10.455
