Site Name ,6004-201605
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6004


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,3,3
18,23/05/2023 , 05:30:00,13,13
19,23/05/2023 , 05:45:00,36,36
20,23/05/2023 , 06:00:00,57,57
21,23/05/2023 , 06:15:00,63,63
22,23/05/2023 , 06:30:00,68,68
23,23/05/2023 , 06:45:00,84,84
24,23/05/2023 , 07:00:00,125,125
25,23/05/2023 , 07:15:00,146,146
26,23/05/2023 , 07:30:00,167,167
27,23/05/2023 , 07:45:00,259,259
28,23/05/2023 , 08:00:00,407,407
29,23/05/2023 , 08:15:00,458,458
30,23/05/2023 , 08:30:00,522,522
31,23/05/2023 , 08:45:00,665,665
32,23/05/2023 , 09:00:00,964,964
33,23/05/2023 , 09:15:00,1246,1246
34,23/05/2023 , 09:30:00,2027,2027
35,23/05/2023 , 09:45:00,2634,2634
36,23/05/2023 , 10:00:00,4148,4148
37,23/05/2023 , 10:15:00,3186,3186
38,23/05/2023 , 10:30:00,4481,4481
39,23/05/2023 , 10:45:00,4966,4966
40,23/05/2023 , 11:00:00,5785,5785
41,23/05/2023 , 11:15:00,6090,6090
42,23/05/2023 , 11:30:00,4978,4978
43,23/05/2023 , 11:45:00,5634,5634
44,23/05/2023 , 12:00:00,6563,6563
45,23/05/2023 , 12:15:00,5836,5836
46,23/05/2023 , 12:30:00,4970,4970
47,23/05/2023 , 12:45:00,5717,5717
48,23/05/2023 , 13:00:00,6348,6348
49,23/05/2023 , 13:15:00,6010,6010
50,23/05/2023 , 13:30:00,5772,5772
51,23/05/2023 , 13:45:00,5699,5699
52,23/05/2023 , 14:00:00,3883,3883
53,23/05/2023 , 14:15:00,6369,6369
54,23/05/2023 , 14:30:00,6189,6189
55,23/05/2023 , 14:45:00,5226,5226
56,23/05/2023 , 15:00:00,4861,4861
57,23/05/2023 , 15:15:00,5340,5340
58,23/05/2023 , 15:30:00,5826,5826
59,23/05/2023 , 15:45:00,3396,3396
60,23/05/2023 , 16:00:00,2209,2209
61,23/05/2023 , 16:15:00,1844,1844
62,23/05/2023 , 16:30:00,1618,1618
63,23/05/2023 , 16:45:00,1284,1284
64,23/05/2023 , 17:00:00,1148,1148
65,23/05/2023 , 17:15:00,949,949
66,23/05/2023 , 17:30:00,927,927
67,23/05/2023 , 17:45:00,779,779
68,23/05/2023 , 18:00:00,672,672
69,23/05/2023 , 18:15:00,618,618
70,23/05/2023 , 18:30:00,591,591
71,23/05/2023 , 18:45:00,836,836
72,23/05/2023 , 19:00:00,701,701
73,23/05/2023 , 19:15:00,601,601
74,23/05/2023 , 19:30:00,500,500
75,23/05/2023 , 19:45:00,361,361
76,23/05/2023 , 20:00:00,270,270
77,23/05/2023 , 20:15:00,173,173
78,23/05/2023 , 20:30:00,107,107
79,23/05/2023 , 20:45:00,49,49
80,23/05/2023 , 21:00:00,18,18
81,23/05/2023 , 21:15:00,3,3
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
109,24/05/2023 , 04:15:00,0,0
