Site Name ,ODYLIGHT-6420
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6420


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,3,3
18,23/05/2023 , 05:30:00,9,9
19,23/05/2023 , 05:45:00,21,21
20,23/05/2023 , 06:00:00,43,43
21,23/05/2023 , 06:15:00,78,78
22,23/05/2023 , 06:30:00,144,144
23,23/05/2023 , 06:45:00,179,179
24,23/05/2023 , 07:00:00,244,244
25,23/05/2023 , 07:15:00,338,338
26,23/05/2023 , 07:30:00,558,558
27,23/05/2023 , 07:45:00,689,689
28,23/05/2023 , 08:00:00,803,803
29,23/05/2023 , 08:15:00,897,897
30,23/05/2023 , 08:30:00,1209,1209
31,23/05/2023 , 08:45:00,1144,1144
32,23/05/2023 , 09:00:00,1338,1338
33,23/05/2023 , 09:15:00,3174,3174
34,23/05/2023 , 09:30:00,3094,3094
35,23/05/2023 , 09:45:00,3468,3468
36,23/05/2023 , 10:00:00,2583,2583
37,23/05/2023 , 10:15:00,4186,4186
38,23/05/2023 , 10:30:00,5633,5633
39,23/05/2023 , 10:45:00,4866,4866
40,23/05/2023 , 11:00:00,4153,4153
41,23/05/2023 , 11:15:00,5063,5063
42,23/05/2023 , 11:30:00,6121,6121
43,23/05/2023 , 11:45:00,5970,5970
44,23/05/2023 , 12:00:00,5349,5349
45,23/05/2023 , 12:15:00,5052,5052
46,23/05/2023 , 12:30:00,5680,5680
47,23/05/2023 , 12:45:00,5202,5202
48,23/05/2023 , 13:00:00,6010,6010
49,23/05/2023 , 13:15:00,5954,5954
50,23/05/2023 , 13:30:00,5086,5086
51,23/05/2023 , 13:45:00,5722,5722
52,23/05/2023 , 14:00:00,6434,6434
53,23/05/2023 , 14:15:00,5872,5872
54,23/05/2023 , 14:30:00,7278,7278
55,23/05/2023 , 14:45:00,6095,6095
56,23/05/2023 , 15:00:00,6849,6849
57,23/05/2023 , 15:15:00,4366,4366
58,23/05/2023 , 15:30:00,2637,2637
59,23/05/2023 , 15:45:00,2191,2191
60,23/05/2023 , 16:00:00,1896,1896
61,23/05/2023 , 16:15:00,1641,1641
62,23/05/2023 , 16:30:00,1506,1506
63,23/05/2023 , 16:45:00,1264,1264
64,23/05/2023 , 17:00:00,1068,1068
65,23/05/2023 , 17:15:00,751,751
66,23/05/2023 , 17:30:00,676,676
67,23/05/2023 , 17:45:00,815,815
68,23/05/2023 , 18:00:00,1113,1113
69,23/05/2023 , 18:15:00,1275,1275
70,23/05/2023 , 18:30:00,836,836
71,23/05/2023 , 18:45:00,580,580
72,23/05/2023 , 19:00:00,503,503
73,23/05/2023 , 19:15:00,395,395
74,23/05/2023 , 19:30:00,274,274
75,23/05/2023 , 19:45:00,193,193
76,23/05/2023 , 20:00:00,175,175
77,23/05/2023 , 20:15:00,117,117
78,23/05/2023 , 20:30:00,62,62
79,23/05/2023 , 20:45:00,32,32
80,23/05/2023 , 21:00:00,11,11
81,23/05/2023 , 21:15:00,1,1
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
