Site Name ,6010-ZM
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6010


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,3,3
18,23/05/2023 , 05:30:00,12,12
19,23/05/2023 , 05:45:00,27,27
20,23/05/2023 , 06:00:00,58,58
21,23/05/2023 , 06:15:00,109,109
22,23/05/2023 , 06:30:00,202,202
23,23/05/2023 , 06:45:00,211,211
24,23/05/2023 , 07:00:00,192,192
25,23/05/2023 , 07:15:00,271,271
26,23/05/2023 , 07:30:00,529,529
27,23/05/2023 , 07:45:00,739,739
28,23/05/2023 , 08:00:00,888,888
29,23/05/2023 , 08:15:00,952,952
30,23/05/2023 , 08:30:00,1072,1072
31,23/05/2023 , 08:45:00,1283,1283
32,23/05/2023 , 09:00:00,1475,1475
33,23/05/2023 , 09:15:00,2705,2705
34,23/05/2023 , 09:30:00,3265,3265
35,23/05/2023 , 09:45:00,3206,3206
36,23/05/2023 , 10:00:00,2482,2482
37,23/05/2023 , 10:15:00,2829,2829
38,23/05/2023 , 10:30:00,4178,4178
39,23/05/2023 , 10:45:00,3877,3877
40,23/05/2023 , 11:00:00,3524,3524
41,23/05/2023 , 11:15:00,4310,4310
42,23/05/2023 , 11:30:00,5420,5420
43,23/05/2023 , 11:45:00,4343,4343
44,23/05/2023 , 12:00:00,3667,3667
45,23/05/2023 , 12:15:00,3843,3843
46,23/05/2023 , 12:30:00,4432,4432
47,23/05/2023 , 12:45:00,4190,4190
48,23/05/2023 , 13:00:00,4246,4246
49,23/05/2023 , 13:15:00,5087,5087
50,23/05/2023 , 13:30:00,4075,4075
51,23/05/2023 , 13:45:00,4728,4728
52,23/05/2023 , 14:00:00,5364,5364
53,23/05/2023 , 14:15:00,4626,4626
54,23/05/2023 , 14:30:00,5122,5122
55,23/05/2023 , 14:45:00,4908,4908
56,23/05/2023 , 15:00:00,6288,6288
57,23/05/2023 , 15:15:00,4169,4169
58,23/05/2023 , 15:30:00,2462,2462
59,23/05/2023 , 15:45:00,1959,1959
60,23/05/2023 , 16:00:00,1494,1494
61,23/05/2023 , 16:15:00,1435,1435
62,23/05/2023 , 16:30:00,1380,1380
63,23/05/2023 , 16:45:00,1291,1291
64,23/05/2023 , 17:00:00,832,832
65,23/05/2023 , 17:15:00,548,548
66,23/05/2023 , 17:30:00,404,404
67,23/05/2023 , 17:45:00,495,495
68,23/05/2023 , 18:00:00,786,786
69,23/05/2023 , 18:15:00,1040,1040
70,23/05/2023 , 18:30:00,640,640
71,23/05/2023 , 18:45:00,429,429
72,23/05/2023 , 19:00:00,404,404
73,23/05/2023 , 19:15:00,631,631
74,23/05/2023 , 19:30:00,489,489
75,23/05/2023 , 19:45:00,328,328
76,23/05/2023 , 20:00:00,318,318
77,23/05/2023 , 20:15:00,241,241
78,23/05/2023 , 20:30:00,127,127
79,23/05/2023 , 20:45:00,57,57
80,23/05/2023 , 21:00:00,21,21
81,23/05/2023 , 21:15:00,5,5
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
109,24/05/2023 , 04:15:00,0,0
