"","site_code","SEmean","length"
"1","core001",178.9736,20
"2","core002",0.273571428571429,21
"3","core003",40.4816,21
"4","core004",13.9776923076923,21
"5","core005",0.240882352941176,21
"6","core006",0.495185185185185,21
"7","cps0036",0.52,2
"8","cps0037",0.355,2
"9","cps0038",0.36,2
"10","cps0039",0.56,2
"11","cps0040",0.8,2
"12","cps0041",0.34,4
"13","cps0042",0.345,2
"14","cps0045",0.44,2
"15","cps0046",0.505,4
"16","cps0047",0.505,2
"17","cps0048",0.475,2
"18","cps0049",1.275,2
"19","cps0050",0.335,2
"20","cps0051",0.625,2
"21","cps0221",0,7
"22","cps0224",0,7
"23","cps0763",3.555,2
"24","cps0766",0.68,2
"25","cps0794",0.56,2
"26","cps1023",0.36,1
"27","cps1024",0.29,1
"28","cps1025",0.15,1
"29","cps1026",0.18,1
"30","cps1027",0.76,1
"31","cps1028",0.5,1
"32","cps1029",0.49,1
"33","cps1030",0.54,1
"34","cps1031",0.29,1
"35","cps1032",0.64,1
"36","cps1033",0.47,1
"37","cps1034",0.25,1
"38","cps1035",0.038,8
"39","cps1036",0,1
"40","cps1037",0,1
"41","cps1038",0,1
"42","cps1039",0,1
"43","cps1040",0,1
"44","cps1041",0,1
"45","cps1042",0,1
"46","cps1043",0,1
"47","cps1044",0,1
"48","cps1045",0,1
"49","cps1046",0.04875,6
"50","cps1047",0,1
"51","cps1048",0,1
"52","cps1049",0,1
"53","cps1050",0,1
"54","cps1051",0.035,1
"55","cps1052",0.39,2
"56","cps1053",0.635,2
"57","cps1054",0.151333333333333,8
"58","cps1055",0.53,1
"59","cps1056",0.53,2
"60","cps1057",0.53,1
"61","cps1058",0.4,1
"62","cps1059",0,1
"63","cps1060",0.18,1
"64","cps1061",0.795,2
"65","cps1062",0.26,1
"66","cps1063",0.695,2
"67","cps1064",1.41,1
"68","cps1065",0.6,1
"69","cps1066",0.99,4
"70","cps1067",0.44,1
"71","cps1068",0.77,1
"72","cps1069",0.841666666666667,8
"73","cps1070",0.33,1
"74","cps1071",0.2,1
"75","cps1072",0.96,1
"76","cps1077",0.03,1
"77","cps1079",0,1
"78","cps1080",0.45,1
"79","cps1081",0.775,2
"80","cps1082",1.48,2
"81","cps1083",0,1
"82","cps1084",0,1
"83","cps1085",0,1
"84","cps1086",0,1
"85","cps1087",0,1
"86","cps1088",0,1
"87","cps1089",0,1
"88","cps1091",0,1
"89","cps1092",0,1
"90","cps1093",0,1
"91","cps1094",0,1
"92","cps1095",0,1
"93","cps1096",0,1
"94","cps1097",0,3
"95","cps1098",0,1
"96","cps1099",0,1
"97","cps1100",0,1
"98","cps1101",0,1
"99","cps1102",0,1
"100","cps1103",0,1
"101","cps1104",0,1
"102","cps1105",0,1
"103","cps1106",0,1
"104","cps1107",0,1
"105","cps1108",0.18,2
"106","cps1109",0.32,1
"107","cps1110",1.84,1
"108","cps1111",1.31,1
"109","cps1112",0.31,1
"110","cps1113",0.458333333333333,4
"111","cps1114",0.03,2
"112","cps1115",0.06,1
"113","cps1116",0.565,2
"114","cps1117",0.55,1
"115","cps1118",0.315714285714286,5
"116","cps1119",0.57,1
"117","cps1120",0.95,1
"118","cps1121",0,1
"119","cps1122",0,1
"120","cps1123",0,1
"121","cps1124",0,1
"122","cps1125",0,1
"123","cps1126",0.21,1
"124","cps1127",0.66,1
"125","cps1128",0.333,7
"126","cps1129",0.27,1
"127","cps1130",0.49,1
"128","cps1131",0.45,1
"129","cps1132",0.59,1
"130","cps1133",0.56,1
"131","cps1134",0.43,1
"132","cps1135",0.5,1
"133","cps1136",0.13,1
"134","cps1137",0.38125,6
"135","cps1138",0.85,1
"136","cps1139",0.7,1
"137","cps1140",0.52,1
"138","cps1141",0.757,8
"139","cps1142",0.98,1
"140","cps1143",0.52,1
"141","cps1144",0.5,1
"142","cps1145",1.62,1
"143","cps1146",0.26,1
"144","cps1147",0.68,1
"145","cps1148",0.65,1
