type,project,site,yr,qtr,subsite,loc,sensor,launch.date,launch.time,deploy.date,deploy.time,retrieve.date,retrieve.time,lat,lon,comments
par,Restoration,DumasBay,2020,3,A,1,8002,6/5/2020,1:00:00,6/4/2020,11:30:00,12/29/2020,13:55:00,47.32933,-122.38615,
par,Restoration,DumasBay,2020,4,A,1,6004,12/11/2020,1:00:00,12/29/2020,13:55:00,4/28/2021,12:30:00,47.32933,-122.38615,"HydroWiper 3773, tag 10"
par,Restoration,Joemma,2016,3,PNNL15,deep,6431,7/7/2016,0:10:00,7/6/2016,13:00:00,8/16/2016,23:59:00,47.222,-122.81008,65 cm offset
par,Restoration,Joemma,2016,3,PNNL15,deepT,6430,7/7/2016,0:10:00,7/6/2016,13:00:00,8/16/2016,23:59:00,47.222,-122.81008,problem with data. Glitch throughout. 65 cm offset
par,Restoration,Joemma,2018,2,PNNL15,deep,8046,3/7/2018,1:00:00,3/6/2018,15:30:00,5/18/2018,13:00:00,47.22202,-122.81003,deployed at southern helical of transect 4 at site PNNL15. 50 cm offset 
par,Restoration,Joemma,2018,2,PNNL15,deepT,8047,3/7/2018,1:00:00,3/6/2018,15:30:00,5/18/2018,13:00:00,47.22202,-122.81003,deployed at southern helical of transect 4 at site PNNL15. 50 cm offset 
par,Restoration,Joemma,2018,2,PNNL15,deep,7998,5/19/2018,0:10:00,5/18/2018,13:00:00,8/7/2018,23:59:00,47.22202,-122.81003,deployed at southern helical of transect 4 at site PNNL15.
par,Restoration,Joemma,2018,2,PNNL15,deepT,7999,5/19/2018,0:10:00,5/18/2018,13:00:00,8/7/2018,23:59:00,47.22202,-122.81003,deployed at southern helical of transect 4 at site PNNL15.
par,Restoration,Joemma,2019,1,NHP,bottom,5994,8/4/2019,1:00:00,8/3/2019,15:00:00,5/8/2020,23:59:00,47.22188,-122.81017,
par,Restoration,Joemma,2019,1,NHP,top,5993,8/4/2019,1:00:00,8/3/2019,15:00:00,5/8/2020,23:59:00,47.22196,-122.8102,
par,Restoration,BlindBay,2020,3,A,1,6010,8/3/2020,1:00:00,8/2/2020,12:30:00,10/8/2020,14:30:00,48.57816,-122.94099,"Hydro-Wiper #3642, Yellow tag #18."
par,Restoration,BlindBay,2020,4,A,1,6425,10/7/2020,1:00:00,10/8/2020,15:00:00,4/24/2021,23:30:00,48.57816,-122.94099,"Based on the email from Pema Kitaeff sent on Monday, April 26, 2021, it appears the sensor was recovered sometime on Sunday, April 25, 2021. Therefore, inidicated sensor recovery at 23:00:00, on Saturday, April 24, 2021. Email saved in SJI Zm restoration folder."
depth,Restoration,BlindBay,2020,4,A,1,20566108,10/7/2020,1:00:00,10/8/2020,15:00:00,4/24/2021,23:30:00,48.57816,-122.94099,"Based on the email from Pema Kitaeff sent on Monday, April 26, 2021, it appears the sensor was recovered sometime on Sunday, April 25, 2021. Therefore, inidicated sensor recovery at 23:00:00, on Saturday, April 24, 2021. Email saved in SJI Zm restoration folder."
